key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
43,,,81.0,,,,,,,,,207.0,,102.0,204.0
44,,,,,,88.0,,,,,,159.0,154.0,321.0,159.0
45,,,,,,84.0,,,,,,205.0,,417.0,204.0
46,,,,,,70.0,,,,,,204.0,,401.0,204.0
47,,,,,,76.0,,,,,,204.0,,100.0,204.0
48,,,,,,172.0,,,,,,,,,
49,,,,,,157.0,,,,,,,,,
50,,,,,,185.0,,,,,,,,,
57,27.0,,,,,109.0,,,,,,414.0,,310.0,205.0
58,48.0,,,,,146.0,,,,,,380.0,,277.0,205.0
59,29.0,,,,,87.0,,,,,,430.0,,235.0,205.0
60,46.0,,,,,66.0,,,,,,116.0,,163.0,124.0
61,46.0,,,,,138.0,,,,,,139.0,,174.0,134.0
62,46.0,,,,,106.0,,,,,,175.0,,151.0,105.0
63,46.0,,,,,82.0,,,,,,106.0,,101.0,204.0
64,,,,,,80.0,,,,,23.0,103.0,,101.0,206.0
65,,,,,,76.0,,,,,,107.0,,151.0,205.0
66,,,,108.0,,,,,,,,,,103.0,203.0
67,,,,51.0,,,,,,,,,,252.0,
68,,,,,,,,,,,,155.0,,105.0,204.0
69,46.0,,,171.0,,,,,,,,412.0,,177.0,205.0
70,,,,223.0,,,,,,,,156.0,,104.0,205.0
71,,,,118.0,,,,,,,,311.0,,206.0,203.0
73,,,,111.0,,,,,,,,204.0,,106.0,203.0
74,,,,188.0,,,,,,,,205.0,,106.0,203.0
75,,,,141.0,,,,,,,,,,,
76,,,,77.0,,,,,,56.0,,,,,
77,,,146.0,,,125.0,,,,,,408.0,,215.0,203.0
78,,,149.0,,,87.0,,,,,,205.0,,109.0,203.0
79,,,70.0,,,,,,,,,206.0,,102.0,203.0
82,,,53.0,,,,,,,,,,,,
83,,,,,,,,,,,,410.0,,208.0,
84,,,,,,,,,,,,412.0,,210.0,
85,,,,,,,,,,,,205.0,,255.0,
86,,,,,,36.0,,,,,107.0,307.0,,152.0,204.0
87,,,,,,136.0,,,,,,,,198.0,
88,,,,,,73.0,,,,,,415.0,,202.0,204.0
89,,,,,,106.0,,,,,,255.0,,137.0,203.0
90,,,,62.0,,,,,,,,257.0,,105.0,204.0
91,,,,,,106.0,,,,,,255.0,,126.0,204.0
92,,,,,,144.0,,,,,,,,308.0,
93,,,,,,85.0,,,,,,,,202.0,
94,,,,,,130.0,,,,,,105.0,,313.0,
95,,,,,,109.0,,,,,,105.0,,256.0,
96,,,,,,79.0,,,,,25.0,105.0,,306.0,
97,,,,,,,,,,106.0,,204.0,,156.0,154.0
98,,,,,,,,,,105.0,,204.0,,157.0,154.0
99,,,122.0,,,,,,,,,206.0,,149.0,152.0
100,,,,,,,,,,96.0,,204.0,,155.0,155.0
101,,,,,,,,,,96.0,,204.0,,157.0,154.0
102,,,152.0,,,,,,,57.0,,203.0,,156.0,155.0
103,,,21.0,,,,,,,36.0,,203.0,,152.0,152.0
104,,,,,,,,,,54.0,,,,,
105,,,102.0,,,,,,,,,,,,
106,,,,,,,,,,,,206.0,,102.0,204.0
107,,,,,,,,,,,,204.0,,100.0,202.0
108,,,,,,72.0,,,,,23.0,206.0,,103.0,202.0
109,,,,,,,,,,,,206.0,,101.0,203.0
111,,,,,,,,,,,,205.0,,106.0,204.0
112,,,23.0,,,,,,,,,,,,
113,,228.0,,,72.0,,,,,,,,,,
114,,247.0,,,79.0,,,,,,,,,,
115,78.0,232.0,,21.0,112.0,,178.0,,,,67.0,,,,
116,,,,125.0,,,,,,,,255.0,,105.0,203.0
117,52.0,325.0,,68.0,112.0,,,,,,,,,,
118,69.0,257.0,,68.0,83.0,,,,,,,,,,
119,51.0,233.0,,50.0,86.0,,,,,,,,,,
120,,,,57.0,,,,,,,,413.0,,225.0,152.0
121,,,,133.0,,,,,,,,207.0,,156.0,154.0
122,,,,181.0,,,,,,,,203.0,,155.0,153.0
123,,,,21.0,,,,,,,,105.0,,255.0,
124,,,,47.0,,,,,,,,105.0,,260.0,
125,,,29.0,81.0,,,,,,,,104.0,,204.0,
126,,,69.0,,,,,,,,,206.0,,103.0,205.0
127,,,72.0,,,,,,,,,,,105.0,203.0
128,73.0,,141.0,,,,,,,,,358.0,,208.0,203.0
129,,,,81.0,,,,,,,,154.0,,102.0,203.0
130,73.0,,62.0,,,,,,,,,103.0,,259.0,204.0
131,,,,,,25.0,,,,,211.0,103.0,,312.0,202.0
132,,,,,,89.0,,,,,,,,258.0,
133,,,72.0,,,,,,,,,312.0,,241.0,205.0
134,27.0,,,,,,,,,,,255.0,,120.0,204.0
135,48.0,,349.0,,,,,,,,,512.0,,254.0,201.0
136,48.0,,132.0,,,,,,,,,205.0,,155.0,205.0
137,,,261.0,,,,,,,,,256.0,,152.0,203.0
138,,,69.0,,,,,,,,,512.0,,202.0,202.0
139,,,21.0,,,,,,,,,107.0,,228.0,202.0
140,27.0,,92.0,,,,,,,,,,,209.0,202.0
141,,,,,,,,,,,,105.0,,189.0,
142,,,21.0,,,,,,,,,107.0,,196.0,
143,,,53.0,,,,,,,,,105.0,,152.0,
144,,,,,,,,,,,,206.0,,156.0,152.0
145,,,72.0,,,,,,,,,207.0,,134.0,151.0
146,,,80.0,,,,,,,,,206.0,,154.0,153.0
147,,,123.0,,,,,,,,,204.0,,156.0,154.0
148,,,,,,,,,,,,205.0,,153.0,103.0
149,,,,,,321.0,,,,,25.0,,,105.0,203.0
150,,,,,,75.0,,,,,,256.0,,255.0,203.0
152,,,,,,,,,,,,106.0,,102.0,203.0
153,,,,,,75.0,,,,,,,,152.0,
154,,,,,,,,,,,,170.0,,156.0,203.0
155,,,,,,,,,,,,106.0,,100.0,203.0
156,48.0,,,,,91.0,,,,,28.0,107.0,,104.0,203.0
157,,,,,,,,,,,,,,159.0,
158,,,70.0,,74.0,,,,,,,126.0,,106.0,204.0
159,,,,,,76.0,,,,,,,,156.0,
160,,,,,,,,,,,,206.0,,104.0,203.0
161,,,213.0,,,,,,,,,205.0,,102.0,205.0
162,,,244.0,,,,,,,,,206.0,,102.0,202.0
163,,,305.0,,,121.0,,,,,,205.0,,104.0,206.0
164,,,249.0,,,53.0,,,,,,410.0,,220.0,205.0
165,,,171.0,,,,,,,,,206.0,,109.0,205.0
166,,,300.0,,,107.0,,,,,,207.0,,100.0,204.0
167,,,262.0,,,37.0,,,,,,,,,
168,,,102.0,,,,,,,,,208.0,,215.0,203.0
169,,,114.0,,,,,,,,,206.0,,157.0,153.0
170,,,198.0,,,350.0,,,,,,107.0,,272.0,
171,,,89.0,,,174.0,,,,,,204.0,,204.0,153.0
172,,,202.0,,,179.0,,,,,,106.0,,208.0,
173,,,315.0,,,280.0,,,,,,105.0,,211.0,
174,,,334.0,,,153.0,,,,,,107.0,,211.0,
175,,,220.0,,,255.0,,,,,,104.0,,200.0,
176,,,89.0,,,168.0,,,,,225.0,105.0,,306.0,
177,,,,140.0,,,,,,,,205.0,,121.0,201.0
178,,,,103.0,,,,,,,,157.0,,109.0,202.0
179,,,,83.0,,,,,,,,106.0,,104.0,203.0
180,,,,,,,,,,,,106.0,,221.0,203.0
181,,,,,,,,,,,,,,154.0,203.0
182,,,,,,,,,,,,157.0,,106.0,202.0
183,,,,,,53.0,,,,,84.0,105.0,,110.0,204.0
184,,,,,,78.0,,,,,,104.0,,106.0,203.0
185,,,,,,,,,,,,,,149.0,202.0
186,,,,,,,,,,,,106.0,,103.0,205.0
187,,,,,,,,,,,,107.0,,157.0,203.0
189,,,,,,125.0,,,,,107.0,412.0,,211.0,203.0
190,,,,,,81.0,,,,,,,,,
191,,,,175.0,,,,,,,,411.0,,203.0,203.0
192,,,,,,70.0,,,,,50.0,,,,
193,,,,192.0,,,,,,,,207.0,,111.0,204.0
194,,,,145.0,,,,,,,,,,,
196,,,,140.0,,,,,,,,,,,
197,,,,,,,,,,,,256.0,,101.0,204.0
198,27.0,,,166.0,,,,,,,,463.0,159.0,109.0,203.0
199,27.0,,,172.0,,,,,,,,206.0,,105.0,206.0
200,,,,,,178.0,,,,,,305.0,,160.0,203.0
201,27.0,,,106.0,,,,,,,,206.0,,213.0,204.0
202,27.0,,,129.0,,,,,,,,561.0,,213.0,205.0
203,,,,135.0,,,,,,,,,,213.0,
204,,,,81.0,,,,,,,,416.0,278.0,,158.0
205,,,,126.0,,,,,,,,255.0,,107.0,204.0
206,,,,59.0,,,,,,,,105.0,,205.0,103.0
207,,,,105.0,,,,,,,,156.0,,131.0,103.0
208,,,,107.0,,,,,,,,,,,
209,,,153.0,,,,,,,,,206.0,,105.0,
210,,,151.0,,,,,,,,,205.0,,110.0,
211,,,,,,,,,,,,412.0,,208.0,
212,,,,,,,,,,,,207.0,,155.0,
213,,,,,,,,,,,,105.0,,114.0,203.0
214,,,,,,,,,,,,,,157.0,
215,,,,123.0,,,,,,,,206.0,,126.0,206.0
216,,,,59.0,,,,,,,,157.0,,101.0,205.0
217,,,,140.0,,,,,,,,123.0,,129.0,203.0
218,,,,103.0,,,,,,,,205.0,,103.0,204.0
219,,,,188.0,,,,,,,,207.0,,107.0,203.0
220,,,,171.0,,,,,,,,,,,
221,46.0,,,172.0,,,,,,,,206.0,,106.0,
222,92.0,,,206.0,,,,,,,,205.0,,102.0,202.0
223,,,124.0,,,,,,,,,666.0,,316.0,202.0
224,,,,,,,,,,,,206.0,,104.0,202.0
226,,,17.0,,,,,,,,,205.0,,163.0,205.0
227,27.0,,,,,,,,,,,255.0,,152.0,
228,,,153.0,,,95.0,,,,,,256.0,,154.0,204.0
229,,,,43.0,189.0,,,,,,,206.0,,208.0,204.0
230,,,,49.0,73.0,,,,,,,206.0,,153.0,203.0
231,,,,,184.0,,,,,,,253.0,,104.0,203.0
232,,,,,82.0,,,,,,,156.0,,200.0,153.0
233,,,,,184.0,,,,,,,207.0,,155.0,152.0
234,,,,,148.0,,,,,,,106.0,,231.0,
235,,,72.0,,102.0,,,,,,,154.0,,205.0,104.0
236,,,91.0,,,,,,,,,,,428.0,
237,,,,,,,,,,,,104.0,,311.0,
238,,,79.0,,,,,,,,,,,304.0,
239,,,,,,36.0,,,,,,,,305.0,
240,,,,,,,,,,,,,,356.0,
241,,,115.0,,,,,,,,,,,254.0,
242,,,91.0,,,,,,,,,,,254.0,
243,,,133.0,,,,,,,,,,,,
244,,,199.0,,,,,,,,,,,,
245,,,19.0,,,,,,,,,,,252.0,
246,,,21.0,,,,,,,,,,,,
247,,,,,,61.0,,,,,,,,,
248,,,,71.0,,,,,,,,,,,
249,,,,62.0,,,,,,,,,,,
250,,,,150.0,,,,,,,,,,,
251,27.0,,,83.0,,,,,,,,204.0,,253.0,203.0
252,27.0,,101.0,,,,,,,,,511.0,,210.0,203.0
253,,,149.0,,,,,,,,,254.0,,104.0,204.0
254,27.0,,,84.0,,,,,,,,464.0,,251.0,202.0
255,,,,80.0,,,,,,,,204.0,,121.0,204.0
256,,,,98.0,,,,,,,,205.0,,153.0,153.0
257,,,,26.0,,,,,,,,203.0,,155.0,155.0
258,,,,,,76.0,,,,,,204.0,,151.0,154.0
259,,,,,,141.0,,,,,,106.0,,206.0,103.0
260,,,,152.0,,,,,,,,207.0,,149.0,152.0
261,,,,151.0,,,,,,,,411.0,,203.0,154.0
262,,,,116.0,,,,,,,,413.0,,252.0,153.0
263,,,68.0,,,,,,,,,458.0,,258.0,151.0
264,,,,,,,,,,,,208.0,,152.0,154.0
265,,,,,,,,,,,,205.0,,155.0,154.0
266,,,74.0,,,,,,,,,205.0,,104.0,203.0
267,,,23.0,,,,,,,,,206.0,,107.0,204.0
268,,,114.0,,,,,,,,,,,108.0,203.0
270,65.0,,52.0,,,,,,,,,311.0,,264.0,205.0
271,27.0,,49.0,,,,,,,,,312.0,,116.0,204.0
272,,,131.0,,,,,,,,,262.0,,104.0,204.0
273,,,42.0,,,167.0,,,,,,,,154.0,
274,,,226.0,,,,,,,,,436.0,,103.0,204.0
275,,,53.0,,,,,,,,,460.0,,255.0,204.0
276,,,74.0,,,,,,,,,255.0,,134.0,203.0
277,,,,,,155.0,,,,,,,,307.0,
278,,,,,,73.0,,,,,,206.0,,210.0,205.0
279,,,,,,89.0,,,,,,,,,
280,,,126.0,,,,,,63.0,,,108.0,,263.0,
281,,,,,,,,,68.0,,,105.0,,255.0,
282,,,80.0,,,,,,65.0,,,104.0,,256.0,
283,,,80.0,,,,,,71.0,,,107.0,,256.0,
284,,,,,,,,,66.0,,,107.0,,259.0,
285,,,92.0,,,,,,70.0,,,105.0,,258.0,
286,,,60.0,,,,,,66.0,,,104.0,,256.0,
287,,,90.0,,,,,,70.0,,,105.0,,253.0,
288,,,83.0,75.0,,,,,66.0,,,103.0,,252.0,
289,,,36.0,,,,,,65.0,,,107.0,,252.0,
290,,,,,,139.0,,,,,,106.0,,207.0,105.0
291,,,,94.0,,,,,,70.0,,459.0,,256.0,154.0
292,,,,93.0,,,,,,52.0,,206.0,,226.0,205.0
293,,,,92.0,,,,,,,,,,107.0,204.0
294,,,,144.0,,,,,,,,,,153.0,204.0
295,,,,151.0,,,,,,,,105.0,,105.0,205.0
296,,,,99.0,,,,,,,,314.0,,207.0,204.0
297,,,,89.0,,,,,,,,410.0,,336.0,204.0
298,73.0,,,37.0,,,,,,,,518.0,,379.0,205.0
299,,,,,,,,,,,,105.0,,281.0,205.0
300,75.0,,89.0,,,,,,,,,521.0,,330.0,202.0
301,,,,,,,,,,,,313.0,,254.0,204.0
303,46.0,,19.0,,,,,,,,,207.0,,102.0,204.0
304,,,70.0,,,,,,,,,205.0,,105.0,204.0
305,,,91.0,,,,,,,,,,,,
306,,,211.0,,,,,,,,,207.0,,100.0,204.0
307,,,301.0,,,,,,,,,,,,
308,,,214.0,,,,,,,,,107.0,,102.0,104.0
309,,,,,,212.0,,,,,,106.0,,405.0,103.0
310,94.0,,,,,91.0,,,,,,106.0,,407.0,104.0
311,,,21.0,,,86.0,,,,,,103.0,,209.0,
312,,,,,,,,,,,,410.0,,253.0,154.0
313,,,,,,,,,,,,203.0,,154.0,153.0
314,,,70.0,,,,,,,,,207.0,,156.0,153.0
315,,,190.0,,,,,,,,,411.0,,253.0,154.0
316,,,,,,,,,,,,206.0,,151.0,154.0
317,,,90.0,,,,,,,,,207.0,,149.0,152.0
318,,,,,,140.0,,,,,,207.0,,202.0,153.0
319,,,,,,,,,,,,105.0,,309.0,
320,,,,,,297.0,,,,,,105.0,,300.0,102.0
321,,,,,,85.0,,,,,,,,102.0,204.0
322,185.0,,101.0,58.0,,,406.0,,,,,1849.0,,636.0,
323,,,,140.0,,,,,,,,,,,
324,,,,73.0,,,,,,,,155.0,,100.0,203.0
325,,,,,,,,,,98.0,,106.0,,104.0,204.0
326,,,,164.0,,,,,,,,154.0,,103.0,204.0
327,67.0,,,119.0,,,,,,,,775.0,,403.0,205.0
328,,,29.0,,,,,,,,,,,,
329,,,,168.0,,,,,,,,158.0,155.0,,111.0
333,,,,160.0,,,,,,,,205.0,,102.0,203.0
334,48.0,,,205.0,,,,,,,,205.0,,353.0,202.0
335,,,,,,162.0,,,,,,410.0,,208.0,205.0
336,27.0,,,201.0,,,,,,,,481.0,,208.0,205.0
337,,,,,,81.0,,,,,,236.0,,132.0,204.0
338,,,,239.0,,,,,,,,267.0,,130.0,202.0
339,27.0,,,156.0,,,,,,,,362.0,,290.0,202.0
340,27.0,,,265.0,,,,,,,,447.0,,279.0,203.0
341,,,,,,,,,,,,157.0,,166.0,204.0
342,,,,73.0,,,,,,,,257.0,,131.0,202.0
344,,,,153.0,,,,,,,,203.0,,131.0,203.0
345,,,,195.0,,,,,,,,257.0,,130.0,203.0
346,,,,,,87.0,,,,,,321.0,,265.0,205.0
347,,,,,,76.0,,,,,,182.0,,327.0,203.0
348,,,,,,85.0,,,,,,107.0,,99.0,204.0
349,,,,,,170.0,,,,,,157.0,,99.0,204.0
351,,,91.0,,88.0,,,,,,,,,120.0,204.0
352,37.0,,,,,71.0,,,,,,,,100.0,204.0
353,,,,,,195.0,,,,,,205.0,,237.0,104.0
354,,,,,,151.0,,,,,25.0,207.0,,247.0,102.0
356,,,172.0,,,,,,,,,361.0,,212.0,103.0
357,,,92.0,,,,,,,,,359.0,,207.0,103.0
358,,,,,,36.0,,,,,172.0,363.0,,201.0,114.0
359,,,,184.0,,,,,,,,206.0,,136.0,205.0
360,,,,144.0,,,,,,,,469.0,,232.0,203.0
361,10.0,,,105.0,,,,,,,,177.0,,165.0,204.0
362,,,,57.0,,,,,,,,256.0,,136.0,202.0
363,,,,146.0,,,,,,,,186.0,,137.0,205.0
364,43.0,,,155.0,,,,,,,,446.0,,295.0,205.0
365,,,,146.0,,,,,,,,106.0,,129.0,205.0
366,,,,163.0,,,,,,,,268.0,,143.0,202.0
367,,,90.0,,,,,,,,,223.0,,135.0,204.0
368,,,59.0,,,,,,,63.0,,105.0,,263.0,
369,,,42.0,,,,,,,93.0,,203.0,,153.0,153.0
370,,,,106.0,,,,,,46.0,,107.0,,154.0,
371,,,87.0,,,,,,,58.0,,204.0,,156.0,155.0
372,,,246.0,,,,,,,34.0,,204.0,,159.0,154.0
373,,,,271.0,,,,,,,,414.0,,243.0,154.0
374,,,,,,,,,,,,206.0,,213.0,153.0
375,,,,,,,,,,,,207.0,,254.0,
376,,,,,,,,,,,,107.0,,216.0,
377,,,,,,,,,,,,204.0,,317.0,
378,,,,,,,,,,,,106.0,,260.0,
379,,,,89.0,,,,,,,,205.0,,145.0,103.0
380,,,,92.0,,,,,,,,205.0,,147.0,102.0
381,,,,141.0,,,,,,,,312.0,,207.0,104.0
383,,,,73.0,,,,,,,,362.0,,214.0,103.0
384,,,,152.0,,,,,,,,371.0,,199.0,102.0
385,,,,190.0,,,,,,,,363.0,,204.0,157.0
386,,,,149.0,,,,,,75.0,,205.0,,144.0,64.0
387,,,152.0,,,,,,,,,156.0,,140.0,
388,,,121.0,92.0,,,,,,,,226.0,,137.0,204.0
389,,,83.0,39.0,,,,,,,,224.0,,168.0,203.0
390,29.0,,,,,,,,,,,469.0,,246.0,204.0
391,27.0,,,89.0,,,,,,,,253.0,,131.0,203.0
392,,,,139.0,,,,,,,,206.0,,133.0,203.0
393,,,,66.0,,,,,,,,254.0,,130.0,203.0
394,,,,68.0,,,,,,,,204.0,,157.0,204.0
395,,,,119.0,,,,,,,,256.0,,138.0,203.0
396,29.0,,,89.0,,,,,,,,346.0,,271.0,203.0
397,,,,94.0,,,,,,,,256.0,,138.0,204.0
398,,,,114.0,,,,,,,,255.0,,129.0,202.0
399,,,,71.0,,,,,,,,255.0,,129.0,203.0
400,,,,89.0,,,,,,,,248.0,,145.0,203.0
401,,,,147.0,,,,,,,,206.0,,149.0,152.0
402,,,,162.0,,,,,,,,207.0,,150.0,154.0
403,,,,,,60.0,,,,,49.0,106.0,,304.0,
404,,,,,,163.0,,,,,26.0,106.0,,200.0,
405,,,116.0,,,,,,,,,411.0,,275.0,152.0
406,,,,23.0,,,,,,,,206.0,,150.0,154.0
407,,,,,,,,,,,,103.0,,256.0,
408,,,,,,,,,,,,205.0,,156.0,152.0
409,,,,,,,,,,,,155.0,,155.0,153.0
410,,,19.0,,,,,,,,,203.0,,153.0,154.0
411,,,,,,,,,,,,203.0,,103.0,203.0
412,,,,,,,,,,,,,,104.0,203.0
413,46.0,,79.0,,,,,,,,,567.0,,327.0,204.0
414,,,70.0,,,,,,,,,105.0,,104.0,204.0
415,,,,,,,,,,,,204.0,,101.0,202.0
416,,,,,,,,,,,,360.0,,327.0,125.0
417,,,99.0,,,,,,,,,,,178.0,
418,,,152.0,,,,,,,,,,,155.0,204.0
419,,,,,,,,,,,,205.0,,103.0,205.0
420,,,93.0,,,,,,,,,255.0,,128.0,218.0
421,,,93.0,,,,,,,,,221.0,,124.0,223.0
422,,,116.0,,,,,,,,,204.0,,131.0,204.0
423,,,213.0,,,,,,,,,223.0,,136.0,223.0
424,,,57.0,114.0,,,,,,,,254.0,,132.0,205.0
425,,,,105.0,,,,,,,,256.0,,129.0,203.0
426,,,,94.0,,,,,,,,256.0,,132.0,223.0
427,,,,74.0,,,,,,,,373.0,,134.0,223.0
428,,,,121.0,,,,,,,,264.0,,137.0,223.0
429,,,,90.0,,,,,,,,270.0,,131.0,223.0
430,,,,82.0,,,,,,,,203.0,,149.0,152.0
431,,,,112.0,,,,,,,,205.0,,151.0,153.0
432,,,,83.0,,,,,,,,206.0,,157.0,152.0
433,,,,48.0,,,,,,,,203.0,,155.0,155.0
434,,,,123.0,,,,,,,,458.0,,313.0,154.0
435,,,171.0,,,,,,,,,410.0,,276.0,153.0
436,,,,,,,,,,,,105.0,,202.0,
437,,,,,,,,,,,,410.0,,260.0,152.0
438,,,,176.0,,,,,,,,412.0,,259.0,154.0
439,,,,124.0,,,,,,,,461.0,,268.0,154.0
440,,,,46.0,,,,,,,,156.0,,113.0,206.0
441,,,,136.0,,,,,,,,154.0,,107.0,203.0
442,,,,92.0,,,,,,,,,,,
443,,,,63.0,,,,,,,,208.0,,104.0,203.0
444,52.0,,,115.0,,,,,,,,671.0,,379.0,203.0
445,,,,53.0,,,,,,,,,,,
446,,,,,,,,,,,,,,111.0,205.0
447,,,177.0,,,,,,,,,105.0,,154.0,204.0
448,,,,77.0,,,,,,,,105.0,,151.0,203.0
449,,,,,,,,,,,,,,257.0,
450,,,19.0,,,,,,,,,309.0,,203.0,158.0
451,,,,,,,,,,,,204.0,,208.0,103.0
452,,,71.0,,,,,,,,,207.0,,140.0,105.0
453,27.0,,151.0,,,,,,,,,361.0,,203.0,102.0
454,34.0,,55.0,,,,,,,,,311.0,,196.0,104.0
455,34.0,,119.0,,,,,,,,,496.0,,242.0,187.0
456,,,116.0,,,,,,,,,314.0,,202.0,175.0
457,,,,,,,,,,,,205.0,,139.0,102.0
458,,,92.0,,,,,,,,,207.0,,153.0,155.0
459,,,134.0,,,,,,,,,206.0,,152.0,153.0
460,,,165.0,,,,,,,75.0,,408.0,,257.0,153.0
461,,,,,,,,,,38.0,,206.0,,157.0,154.0
462,,,139.0,,,,,,,34.0,,204.0,,152.0,154.0
463,,,171.0,,,,,,,,,202.0,,153.0,153.0
464,,,57.0,,,,,,,81.0,,204.0,,157.0,153.0
465,,,60.0,,,,,,,105.0,,206.0,,151.0,155.0
466,,,198.0,,,,,,,,,106.0,,119.0,204.0
467,,,,,,,,,,105.0,,,,,
468,,,25.0,,,,,,,105.0,,,,,
469,,,,25.0,,,,,,106.0,,207.0,,254.0,204.0
470,,,,127.0,,,,,,,,207.0,,102.0,204.0
471,,,,92.0,,,,,,,,,,106.0,153.0
472,,,,102.0,,,,,,,,409.0,,225.0,204.0
473,,,,54.0,,,,,,,,,,154.0,
474,,,,,,76.0,,,,,,313.0,,226.0,103.0
475,,,,,,73.0,,,,,49.0,371.0,,226.0,187.0
476,,,,138.0,,,,,,,,423.0,,221.0,187.0
477,,,,108.0,,,,,,,,381.0,,201.0,103.0
478,,,,,,,,,,,,203.0,,142.0,104.0
479,,,,194.0,,,,,,24.0,,206.0,,144.0,104.0
480,,,,127.0,,,,,,26.0,,359.0,,205.0,105.0
481,,,342.0,,,,,,,,,359.0,,195.0,103.0
482,,,,119.0,,,,,,,,460.0,,237.0,223.0
483,,,,74.0,,,,,,,,264.0,,136.0,222.0
484,,,,115.0,,,,,,,,253.0,,134.0,224.0
485,29.0,,,118.0,,,,,,,,346.0,,267.0,205.0
486,29.0,,,,,,,,,,,446.0,,259.0,224.0
487,,,,56.0,,,,,,,,103.0,,182.0,204.0
488,,,,41.0,,,,,,,,185.0,,168.0,205.0
489,,,,172.0,,,,,,,,156.0,,133.0,203.0
490,,,,106.0,,,,,,,,206.0,,154.0,205.0
491,,,,,,,,,,34.0,,,,,
492,54.0,,,,,,,,,,,514.0,,253.0,
493,,,,,,,,,,56.0,,,,151.0,
494,,,,,,,,,,67.0,,207.0,,104.0,204.0
495,,,,78.0,,,,,,,,205.0,,105.0,204.0
496,,,,,,,,,,67.0,,412.0,,208.0,204.0
497,,,,47.0,,,,,,54.0,,,,152.0,
498,,,19.0,,,,,,,,,408.0,,257.0,206.0
499,,,,,,,,,,,,204.0,,142.0,104.0
500,44.0,,23.0,,,59.0,,,,,,333.0,,212.0,106.0
501,,,90.0,,,,,,,,,205.0,,144.0,104.0
502,,,174.0,,,53.0,,,,,,206.0,,143.0,105.0
503,,,,172.0,,,,,,,,393.0,,227.0,188.0
504,,,,,,,,,,,,206.0,,221.0,104.0
505,,,308.0,,72.0,,,,,,,,,194.0,
507,,,,142.0,,,,,,,,412.0,,244.0,200.0
508,,,,159.0,,,,,,,,285.0,,129.0,225.0
509,,,,132.0,,,,,,,,156.0,,131.0,206.0
510,,,,59.0,,,,,,,,235.0,,136.0,225.0
511,,,,,,,,,,,,206.0,,135.0,203.0
512,,,62.0,,,264.0,,,,,131.0,528.0,,220.0,225.0
513,,,286.0,,,295.0,,,,,,474.0,,219.0,224.0
514,,,,71.0,,,,,,,,156.0,,132.0,155.0
515,,,,85.0,,,,,,,,275.0,,130.0,224.0
516,,,,123.0,,,,,,,,255.0,,123.0,224.0
517,,,,99.0,,,,,,,,226.0,,130.0,224.0
518,,,,60.0,,,,,,,,225.0,,136.0,205.0
519,,,,88.0,,,,,,,,203.0,,152.0,153.0
