key,Arc heating start,Arc heating end,Active power,Reactive power
14,2019-05-03 20:04:09,2019-05-03 20:10:28,1.2933377624,1.0215147138
14,2019-05-03 20:16:02,2019-05-03 20:22:13,1.4376462697999999,1.0686626434
14,2019-05-03 20:29:01,2019-05-03 20:30:39,0.3830869198,0.2990939617
14,2019-05-03 20:32:07,2019-05-03 20:33:28,0.3148992062,0.2422063351
14,2019-05-03 20:35:22,2019-05-03 20:37:09,0.4120898247,0.3322250843
15,2019-05-03 20:53:55,2019-05-03 20:57:01,0.5914905474000001,0.4646392465
15,2019-05-03 21:01:03,2019-05-03 21:03:59,0.5728527308,0.4986748099
15,2019-05-03 21:08:33,2019-05-03 21:11:18,0.5495595932,0.4022198319
15,2019-05-03 21:11:52,2019-05-03 21:13:31,0.3204983473,0.2425298691
15,2019-05-03 21:29:02,2019-05-03 21:30:30,0.3168745041,0.2242583036
16,2019-05-03 21:59:05,2019-05-03 22:02:17,0.6162801083,0.5468226671
16,2019-05-03 22:05:39,2019-05-03 22:12:06,1.4627866149000002,1.2352761626
16,2019-05-03 22:22:22,2019-05-03 22:27:37,1.253390789,0.973434329
17,2019-05-03 22:38:42,2019-05-03 22:41:23,0.5446613235,0.4137029052
17,2019-05-03 22:44:37,2019-05-03 22:47:19,0.542858243,0.40767687560000004
17,2019-05-03 22:54:12,2019-05-03 22:56:14,0.40591323380000005,0.2862228751
17,2019-05-03 22:59:24,2019-05-03 23:02:24,0.7917250395000001,0.5608122349
17,2019-05-03 23:06:46,2019-05-03 23:08:15,0.391559124,0.2709556818
18,2019-05-03 23:18:30,2019-05-03 23:20:35,0.41569201899999997,0.3281805515
18,2019-05-03 23:28:42,2019-05-03 23:34:51,1.5801421999999998,1.0711171329
18,2019-05-03 23:49:27,2019-05-03 23:51:33,0.5438377857,0.3623614311
18,2019-05-03 23:54:51,2019-05-03 23:57:32,0.6959428787,0.45521199700000003
18,2019-05-04 00:05:08,2019-05-04 00:06:09,0.2597358227,0.1703789234
19,2019-05-04 00:36:16,2019-05-04 00:38:45,0.5113709016,0.3199697435
19,2019-05-04 00:50:03,2019-05-04 00:51:25,0.3177859187,0.2143035531
19,2019-05-04 01:06:51,2019-05-04 01:08:21,0.3512521982,0.22798871989999997
20,2019-05-04 01:37:51,2019-05-04 01:39:59,0.42698069850000003,0.294428587
20,2019-05-04 01:44:25,2019-05-04 01:47:55,0.7619915009,0.5778707862
20,2019-05-04 01:51:43,2019-05-04 01:54:48,0.8288526534999999,0.5708393454999999
20,2019-05-04 01:55:26,2019-05-04 01:57:56,0.6810424328,0.462241888
20,2019-05-04 02:05:39,2019-05-04 02:06:41,0.2727298737,0.19601380829999998
21,2019-05-04 03:22:29,2019-05-04 03:24:39,0.45024155619999995,0.3352892697
21,2019-05-04 03:27:55,2019-05-04 03:31:48,0.9701076745999999,0.6240098476
21,2019-05-04 03:34:47,2019-05-04 03:44:45,2.6290829182,1.6915243268
21,2019-05-04 03:48:13,2019-05-04 03:50:21,0.5707125664,0.3759849072
21,2019-05-04 04:10:47,2019-05-04 04:12:46,0.542028904,0.35501036049999996
21,2019-05-04 04:13:21,2019-05-04 04:14:16,0.24107015129999998,0.1578720212
22,2019-05-04 03:56:43,2019-05-04 03:58:46,0.41475511060000003,0.33626845479999995
22,2019-05-04 04:01:28,2019-05-04 04:03:17,0.3910445571,0.2946481109
22,2019-05-04 04:23:37,2019-05-04 04:27:42,0.9845843266,0.7014363408
22,2019-05-04 04:31:36,2019-05-04 04:34:33,0.8028863072,0.5389288664
22,2019-05-04 04:35:27,2019-05-04 04:40:27,1.3603743315,0.9254068136
22,2019-05-04 04:41:53,2019-05-04 04:43:18,0.381264925,0.2437450886
23,2019-05-04 05:07:02,2019-05-04 05:09:36,0.5345320421,0.43162050840000005
23,2019-05-04 05:12:31,2019-05-04 05:14:55,0.48612737659999994,0.4019580781
23,2019-05-04 05:21:29,2019-05-04 05:23:46,0.4834164381,0.3221200705
23,2019-05-04 05:26:02,2019-05-04 05:28:22,0.5474028586999999,0.3570159674
23,2019-05-04 05:42:57,2019-05-04 05:45:17,0.6121857166,0.4021439552
24,2019-05-04 05:56:29,2019-05-04 05:59:29,0.6459120371,0.46425122020000004
24,2019-05-04 06:04:28,2019-05-04 06:09:51,1.3479030728,0.934976548
24,2019-05-04 06:12:56,2019-05-04 06:15:06,0.5928897858,0.3760040998
24,2019-05-04 06:39:52,2019-05-04 06:41:51,0.41165958350000004,0.2502502799
24,2019-05-04 06:45:57,2019-05-04 06:50:03,1.1147089899,0.6482939422
24,2019-05-04 06:55:11,2019-05-04 06:58:20,0.8464987278,0.4972917438
25,2019-05-04 06:22:49,2019-05-04 06:24:56,0.442119384,0.35466116670000003
25,2019-05-04 06:29:57,2019-05-04 06:34:11,1.0924681425,0.7137632668
25,2019-05-04 06:37:05,2019-05-04 06:42:27,1.4795447588,0.9932696819
25,2019-05-04 06:51:34,2019-05-04 06:53:55,0.6142697334,0.4081642628
25,2019-05-04 06:56:28,2019-05-04 06:58:15,0.48604989049999997,0.3326170444
25,2019-05-04 07:01:38,2019-05-04 07:03:01,0.3748369217,0.2591223717
26,2019-05-04 07:08:15,2019-05-04 07:10:32,0.48007912880000003,0.34322494270000004
26,2019-05-04 07:22:56,2019-05-04 07:25:09,0.5495169461,0.3816179931
26,2019-05-04 07:33:20,2019-05-04 07:36:11,0.7366954088,0.4696117043
27,2019-05-04 07:45:39,2019-05-04 07:51:29,1.2523784377,0.9246851206000001
27,2019-05-04 08:01:04,2019-05-04 08:01:49,0.1808805466,0.10990184550000001
27,2019-05-04 08:02:33,2019-05-04 08:07:31,1.2851560116,0.7787066698
27,2019-05-04 08:09:17,2019-05-04 08:10:32,0.3229722977,0.19686496260000003
28,2019-05-04 08:25:05,2019-05-04 08:27:01,0.4015509021,0.25240726620000004
28,2019-05-04 08:29:00,2019-05-04 08:34:13,1.2259602249,0.7980452776000001
28,2019-05-04 08:36:06,2019-05-04 08:39:45,0.8134313822,0.5109831095
28,2019-05-04 08:41:38,2019-05-04 08:44:35,0.6771144867000001,0.42299890520000005
29,2019-05-04 09:02:12,2019-05-04 09:04:07,0.383682554,0.2580952048
29,2019-05-04 09:08:22,2019-05-04 09:11:24,0.6398397088000001,0.5041382909000001
29,2019-05-04 09:18:32,2019-05-04 09:19:35,0.2404088974,0.1595827341
29,2019-05-04 09:20:19,2019-05-04 09:21:26,0.25909471510000004,0.16195029019999999
30,2019-05-04 09:31:30,2019-05-04 09:33:20,0.3596726025,0.2477902323
30,2019-05-04 09:37:22,2019-05-04 09:44:41,1.9184441268,1.2526072413
30,2019-05-04 09:46:58,2019-05-04 09:52:00,1.3393440247,0.8128321170999999
30,2019-05-04 09:59:47,2019-05-04 10:00:36,0.194051981,0.1183269024
31,2019-05-04 10:17:30,2019-05-04 10:20:28,0.5683043309,0.4759280086
31,2019-05-04 10:23:47,2019-05-04 10:27:19,0.6886695623000001,0.6225854754
31,2019-05-04 10:30:59,2019-05-04 10:32:03,0.24187135699999998,0.1583640575
31,2019-05-04 10:34:38,2019-05-04 10:36:35,0.4443660975,0.3235794306
32,2019-05-04 11:40:45,2019-05-04 11:43:53,0.5605803304,0.5824627876
32,2019-05-04 11:46:30,2019-05-04 11:55:19,2.0849043727,1.4927659035
32,2019-05-04 12:13:29,2019-05-04 12:16:05,0.6913940906999999,0.4157452583
32,2019-05-04 12:26:54,2019-05-04 12:29:03,0.5536925793,0.3401384354
33,2019-05-04 12:39:43,2019-05-04 12:42:12,0.4870737714,0.3726601303
33,2019-05-04 12:46:49,2019-05-04 12:53:14,1.5530803502000001,1.1511232555
33,2019-05-04 12:55:30,2019-05-04 13:01:15,1.5464119911,0.9287364483
33,2019-05-04 13:02:18,2019-05-04 13:04:29,0.577495575,0.3558743
33,2019-05-04 13:08:31,2019-05-04 13:10:22,0.48582696909999995,0.29273915289999997
33,2019-05-04 13:18:32,2019-05-04 13:21:01,0.6235046387,0.4143722057
33,2019-05-04 13:22:29,2019-05-04 13:23:33,0.2730946541,0.1630516052
34,2019-05-04 13:33:33,2019-05-04 13:38:43,1.1342117446,0.8497656584000001
34,2019-05-04 13:40:44,2019-05-04 13:43:19,0.6652398109000001,0.4265807867
34,2019-05-04 13:45:00,2019-05-04 13:49:12,1.115162611,0.6835219859999999
35,2019-05-04 14:05:15,2019-05-04 14:09:07,1.0140802656,0.6489512324
35,2019-05-04 14:11:07,2019-05-04 14:13:11,0.545784235,0.3313705325
35,2019-05-04 14:15:43,2019-05-04 14:21:17,1.4805737734,0.897840023
36,2019-05-04 14:41:56,2019-05-04 14:45:22,0.874162195,0.6028332114
36,2019-05-04 14:47:51,2019-05-04 14:50:35,0.7454599738,0.3882173896
36,2019-05-04 14:52:11,2019-05-04 14:58:15,1.6798343658000001,0.8615281582
36,2019-05-04 14:58:52,2019-05-04 15:01:18,0.6757645606999999,0.35678255560000005
36,2019-05-04 15:02:59,2019-05-04 15:06:51,1.0313332081,0.6078691482999999
37,2019-05-04 15:14:26,2019-05-04 15:17:47,0.7540004675,0.5715081692
37,2019-05-04 15:28:41,2019-05-04 15:31:10,0.5930070877,0.36166310310000005
37,2019-05-04 15:36:33,2019-05-04 15:39:23,0.6192220449,0.46715909240000003
37,2019-05-04 15:40:03,2019-05-04 15:42:23,0.5433202982,0.36739838119999996
37,2019-05-04 15:47:01,2019-05-04 15:48:23,0.30824851989999996,0.2364350557
38,2019-05-04 16:03:36,2019-05-04 16:06:03,0.5009354835000001,0.32180973890000003
38,2019-05-04 16:10:10,2019-05-04 16:14:43,0.9032177925,0.6993508934999999
38,2019-05-04 16:21:43,2019-05-04 16:24:53,0.7038872242,0.43988072869999995
38,2019-05-04 16:26:47,2019-05-04 16:27:24,0.1469922066,0.0992577076
39,2019-05-04 16:43:47,2019-05-04 16:46:13,0.5221829181000001,0.3573269546
39,2019-05-04 16:49:04,2019-05-04 16:52:39,0.8330342173999999,0.5501931608
39,2019-05-04 16:55:48,2019-05-04 16:59:13,0.7861756086,0.4881896377
39,2019-05-04 17:06:02,2019-05-04 17:08:34,0.6055715084000001,0.3812544346
40,2019-05-04 18:03:59,2019-05-04 18:06:26,0.5289898171,0.3756506443
40,2019-05-04 18:11:49,2019-05-04 18:15:04,0.749183774,0.5687160492000001
40,2019-05-04 18:16:27,2019-05-04 18:20:49,1.0691820383,0.7513627409999999
40,2019-05-04 18:24:10,2019-05-04 18:26:12,0.48674511909999996,0.356806159
40,2019-05-04 18:29:35,2019-05-04 18:30:57,0.3271920681,0.2338452339
43,2019-05-04 20:15:41,2019-05-04 20:18:10,0.5300499363000001,0.38936418289999997
43,2019-05-04 20:21:20,2019-05-04 20:24:59,0.8156167269,0.5788984895
43,2019-05-04 20:33:26,2019-05-04 20:36:05,0.6111457348,0.4024161696
43,2019-05-04 20:41:46,2019-05-04 20:44:31,0.6426090002,0.4103277922
43,2019-05-04 20:45:52,2019-05-04 20:47:35,0.4020423889,0.2778722048
43,2019-05-04 20:48:34,2019-05-04 20:49:31,0.2235810757,0.1614279747
44,2019-05-04 22:09:23,2019-05-04 22:11:49,0.5144906789,0.4063110054
44,2019-05-04 22:14:17,2019-05-04 22:17:39,0.6918125748999999,0.554530859
44,2019-05-04 22:19:54,2019-05-04 22:24:09,0.9273645878,0.6549552083
44,2019-05-04 22:30:57,2019-05-04 22:31:39,0.1558656693,0.1125000715
44,2019-05-04 22:32:45,2019-05-04 22:34:57,0.50101161,0.3397085667
44,2019-05-04 22:44:58,2019-05-04 22:46:04,0.2530214787,0.163589716
44,2019-05-04 22:47:31,2019-05-04 22:49:34,0.4895014763,0.35249710079999996
44,2019-05-05 00:32:02,2019-05-05 00:34:36,0.53789229,0.4269783199
44,2019-05-05 00:36:13,2019-05-05 00:46:45,2.3433725238,1.9218170047
44,2019-05-05 00:49:21,2019-05-05 00:52:55,0.8326621056,0.6378333569
44,2019-05-05 01:04:04,2019-05-05 01:04:31,0.0982062817,0.0797576904
44,2019-05-05 01:10:03,2019-05-05 01:11:13,0.26741552350000003,0.2115015984
45,2019-05-04 23:02:37,2019-05-04 23:05:52,0.6677370096999999,0.5547809601
45,2019-05-04 23:08:55,2019-05-04 23:15:53,1.7657498717,1.2963869572
45,2019-05-04 23:18:43,2019-05-04 23:21:48,0.8249104023,0.5615004301
45,2019-05-04 23:22:53,2019-05-04 23:26:00,0.8371248245,0.5660567284
45,2019-05-04 23:27:47,2019-05-04 23:30:13,0.6501727104,0.4554944038
45,2019-05-04 23:32:14,2019-05-04 23:37:01,1.257519722,0.9702279568000001
45,2019-05-04 23:38:17,2019-05-04 23:40:21,0.5563178061999999,0.36814641950000004
45,2019-05-05 00:09:50,2019-05-05 00:14:57,1.3360493046,0.9418177605
45,2019-05-05 00:15:58,2019-05-05 00:19:00,0.8234491348,0.5438883305
45,2019-05-05 00:21:20,2019-05-05 00:23:05,0.46543288229999996,0.3052334785
46,2019-05-04 23:46:31,2019-05-04 23:48:13,0.41655294229999995,0.3121533394
46,2019-05-04 23:50:09,2019-05-04 23:53:27,0.7880171834999999,0.5604213476
46,2019-05-05 00:00:02,2019-05-05 00:06:06,1.4163151979,0.9232940078
46,2019-05-05 00:39:24,2019-05-05 00:41:35,0.47377384619999996,0.3205963969
46,2019-05-05 00:43:59,2019-05-05 00:50:01,1.5528523325999999,1.0737991929000001
46,2019-05-05 00:52:56,2019-05-05 00:58:01,1.3391981125,0.8880230187999999
46,2019-05-05 01:01:50,2019-05-05 01:04:50,0.8044459820000001,0.5336105824
46,2019-05-05 01:05:36,2019-05-05 01:08:45,0.8457651138,0.5561800003
46,2019-05-05 02:27:51,2019-05-05 02:30:22,0.5281292813,0.41431930659999994
46,2019-05-05 02:32:24,2019-05-05 02:37:35,1.3696905971000002,0.9200502932
46,2019-05-05 02:39:36,2019-05-05 02:45:37,1.6428265572,1.0888096094
46,2019-05-05 02:52:38,2019-05-05 02:55:25,0.7498149872,0.4921088219
46,2019-05-05 03:07:19,2019-05-05 03:08:57,0.4342432022,0.2865254879
47,2019-05-05 01:13:40,2019-05-05 01:16:12,0.5130433296,0.42697271700000006
47,2019-05-05 01:19:27,2019-05-05 01:23:08,0.9512329698,0.6506747603
47,2019-05-05 01:25:21,2019-05-05 01:28:29,0.8331640959000001,0.5860674381000001
48,2019-05-05 01:40:30,2019-05-05 01:42:37,0.4387848947,0.3511220515
48,2019-05-05 01:45:08,2019-05-05 01:47:16,0.5612711608,0.4114652574
48,2019-05-05 01:50:00,2019-05-05 01:53:01,0.8044751883,0.5633378625
48,2019-05-05 01:54:47,2019-05-05 01:57:07,0.6261001825,0.43373882770000005
48,2019-05-05 02:00:57,2019-05-05 02:02:46,0.4581108093,0.31173503399999997
49,2019-05-05 03:45:43,2019-05-05 03:47:49,0.4439371708,0.35129407049999994
50,2019-05-05 04:46:17,2019-05-05 04:48:10,0.412177875,0.299390465
50,2019-05-05 04:59:53,2019-05-05 05:01:24,0.3070392311,0.2105944753
50,2019-05-05 05:03:43,2019-05-05 05:06:43,0.695258677,0.4574689865
50,2019-05-05 05:12:48,2019-05-05 05:15:53,0.7444723845000001,0.5488467813
51,2019-05-05 05:45:24,2019-05-05 05:47:41,0.49566241759999996,0.34380462770000003
51,2019-05-05 05:49:45,2019-05-05 05:59:56,2.7723186313999997,1.872731179
51,2019-05-05 06:01:34,2019-05-05 06:09:39,2.152518034,1.4345257282
51,2019-05-05 06:10:30,2019-05-05 06:11:30,0.2642149925,0.17666506769999998
52,2019-05-05 06:19:03,2019-05-05 06:21:11,0.4604879775,0.3210336566
52,2019-05-05 06:22:10,2019-05-05 06:32:18,2.1847289801,1.5435517728
52,2019-05-05 06:34:08,2019-05-05 06:39:10,1.0730316639,0.7493664026000001
52,2019-05-05 06:39:55,2019-05-05 06:42:31,0.5403101444,0.37699341770000006
52,2019-05-05 06:47:38,2019-05-05 06:49:54,0.4888300896,0.3394861221
52,2019-05-05 06:52:19,2019-05-05 06:53:45,0.3054265976,0.2114500999
53,2019-05-05 07:01:48,2019-05-05 07:03:56,0.5766390725,0.3940618932
53,2019-05-05 07:07:03,2019-05-05 07:15:16,2.2035928369,1.6625548601
53,2019-05-05 07:17:26,2019-05-05 07:21:30,1.0985608101,0.7819712162000001
53,2019-05-05 07:26:33,2019-05-05 07:29:36,0.8238856792,0.579934597
54,2019-05-05 07:46:51,2019-05-05 07:49:00,0.5282207865,0.3544755578
54,2019-05-05 07:49:55,2019-05-05 07:57:05,1.9277558327000002,1.3072072566
54,2019-05-05 07:59:36,2019-05-05 08:02:33,0.8099563122,0.5400257111
54,2019-05-05 08:10:56,2019-05-05 08:13:17,0.6384038925,0.4282298088
55,2019-05-05 08:23:48,2019-05-05 08:25:47,0.4991512389,0.3343721032
55,2019-05-05 08:27:45,2019-05-05 08:34:49,1.9422404169999998,1.3033325374
55,2019-05-05 08:37:37,2019-05-05 08:43:21,1.5495347977,1.058989048
55,2019-05-05 08:49:06,2019-05-05 08:51:20,0.607940197,0.40926694869999997
56,2019-05-05 09:06:29,2019-05-05 09:08:16,0.477483995,0.3119001091
56,2019-05-05 09:09:14,2019-05-05 09:15:31,1.8499119281999998,1.0959691703
56,2019-05-05 09:17:39,2019-05-05 09:22:40,1.4262616634,0.8615621328
56,2019-05-05 09:26:12,2019-05-05 09:27:29,0.3387861252,0.2125368118
56,2019-05-05 09:29:42,2019-05-05 09:31:05,0.3733520508,0.2385063171
56,2019-05-05 09:39:41,2019-05-05 09:41:53,0.6003928185,0.38237953189999996
57,2019-05-05 09:54:13,2019-05-05 09:57:37,0.7327363098,0.5238208771
57,2019-05-05 10:01:13,2019-05-05 10:05:32,1.1315528154,0.7921541929000001
57,2019-05-05 10:08:31,2019-05-05 10:11:38,0.8239820004,0.6139944792
57,2019-05-05 10:18:21,2019-05-05 10:23:03,1.2358949184,0.8313179016
57,2019-05-05 10:28:01,2019-05-05 10:30:15,0.6053335667,0.39148497579999997
58,2019-05-05 10:45:57,2019-05-05 10:49:28,0.7668535536,0.5405861139
58,2019-05-05 10:54:16,2019-05-05 10:57:40,0.8895452023,0.6002798079999999
58,2019-05-05 11:00:46,2019-05-05 11:03:20,0.6838110685,0.5005424023
58,2019-05-05 11:05:47,2019-05-05 11:07:50,0.550665617,0.3708902597
59,2019-05-05 11:35:08,2019-05-05 11:38:28,0.7236771840999999,0.537959516
59,2019-05-05 11:44:25,2019-05-05 11:46:46,0.5077818036,0.3725844026
59,2019-05-05 11:50:26,2019-05-05 11:56:12,1.5337952375,1.1468137503
59,2019-05-05 12:00:14,2019-05-05 12:02:16,0.5414235592000001,0.39337611200000006
59,2019-05-05 12:10:37,2019-05-05 12:12:44,0.5735180378,0.399903059
59,2019-05-05 12:13:21,2019-05-05 12:16:06,0.7527756690999999,0.5019710064
60,2019-05-05 12:57:13,2019-05-05 13:00:30,0.6943591861,0.500138402
60,2019-05-05 13:08:14,2019-05-05 13:11:19,0.7642249465000001,0.5368441939
60,2019-05-05 13:14:51,2019-05-05 13:17:18,0.6482622623,0.5053626299
60,2019-05-05 13:45:09,2019-05-05 13:48:09,0.7906363009999999,0.5374723672999999
61,2019-05-05 14:03:54,2019-05-05 14:07:49,0.8490266384,0.6128331423
61,2019-05-05 14:13:48,2019-05-05 14:16:13,0.5026963353,0.3936261535
61,2019-05-05 14:17:49,2019-05-05 14:19:17,0.3065065145,0.23189330100000002
62,2019-05-05 14:50:46,2019-05-05 14:51:56,0.240273286,0.1869314164
62,2019-05-05 15:03:20,2019-05-05 15:05:57,0.6888199449,0.5146861671999999
62,2019-05-05 15:23:45,2019-05-05 15:24:17,0.1332723498,0.09044963119999999
62,2019-05-05 15:30:57,2019-05-05 15:35:06,1.0479743481000001,0.7110112906
63,2019-05-05 15:48:27,2019-05-05 15:50:53,0.4960261434,0.44208239759999995
63,2019-05-05 15:55:27,2019-05-05 15:58:44,0.6579372883,0.5722332596999999
63,2019-05-05 16:02:17,2019-05-05 16:04:33,0.47518515590000004,0.37463200090000004
63,2019-05-05 16:12:55,2019-05-05 16:14:22,0.3119318485,0.2634017467
64,2019-05-05 16:30:48,2019-05-05 16:32:48,0.3963808045,0.29605713489999996
64,2019-05-05 16:39:49,2019-05-05 16:42:24,0.5682501197,0.4141909778
64,2019-05-05 16:44:34,2019-05-05 16:47:41,0.7180526853,0.49588388200000005
64,2019-05-05 17:14:26,2019-05-05 17:15:47,0.30788779260000004,0.2188560963
64,2019-05-05 17:17:31,2019-05-05 17:19:45,0.5728821754,0.3750524521
64,2019-05-05 17:20:38,2019-05-05 17:25:39,1.3732142448,0.9148266315000001
64,2019-05-05 17:27:21,2019-05-05 17:28:20,0.25959134100000003,0.17950797079999997
65,2019-05-05 18:12:41,2019-05-05 18:14:53,0.42862917840000003,0.3542960286
65,2019-05-05 18:17:29,2019-05-05 18:22:56,1.1925072074,0.916390568
65,2019-05-05 18:32:54,2019-05-05 18:36:06,0.6308240897,0.48909711840000003
65,2019-05-05 18:37:40,2019-05-05 18:42:54,1.2174227834,0.9290378094
65,2019-05-05 18:44:21,2019-05-05 18:45:45,0.3306680918,0.2561950684
65,2019-05-05 18:46:51,2019-05-05 18:50:52,0.9664962292,0.743335247
65,2019-05-05 18:52:00,2019-05-05 18:55:00,0.7137601376,0.5533623695000001
66,2019-05-05 19:06:30,2019-05-05 19:09:47,0.6636389077,0.5771642327000001
66,2019-05-05 19:10:42,2019-05-05 19:14:35,0.9271102548000001,0.7603812218000001
66,2019-05-05 19:16:50,2019-05-05 19:19:57,0.8202408552,0.5979546309
66,2019-05-05 19:21:10,2019-05-05 19:24:40,0.8813757896,0.6323034763000001
66,2019-05-05 19:27:25,2019-05-05 19:29:43,0.6050405502,0.4429674149
67,2019-05-05 19:38:02,2019-05-05 19:40:23,0.5100080828,0.40006822350000004
67,2019-05-05 19:42:34,2019-05-05 19:49:31,1.6698735952000001,1.2360155581999999
67,2019-05-05 19:52:37,2019-05-05 19:55:48,0.8149366379,0.5527938604
67,2019-05-05 19:57:24,2019-05-05 19:59:10,0.44820404049999996,0.2986814976
68,2019-05-05 20:07:04,2019-05-05 20:08:50,0.3344779931,0.2888555825
68,2019-05-05 20:09:41,2019-05-05 20:12:42,0.6756566762999999,0.576372236
68,2019-05-05 20:14:39,2019-05-05 20:16:54,0.479973793,0.4237914085
69,2019-05-05 20:27:21,2019-05-05 20:30:31,0.641617267,0.5303859711
69,2019-05-05 20:35:06,2019-05-05 20:38:08,0.647531867,0.5695879459000001
