key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
235,2019-05-12 03:13:25,2019-05-12 03:18:56,,,,,,,
236,2019-05-12 04:17:11,2019-05-12 04:20:11,,,,,,,
237,2019-05-12 04:48:32,2019-05-12 04:52:23,,,,,,,
238,2019-05-12 05:18:45,2019-05-12 05:20:59,,,,,,,
239,2019-05-12 05:44:38,2019-05-12 05:46:25,,,,,,,
240,2019-05-12 06:31:16,2019-05-12 06:31:57,,,,,,,
241,2019-05-12 07:34:05,2019-05-12 07:35:30,,,,,,,
242,2019-05-12 08:10:39,2019-05-12 08:21:51,,,,,,,
243,2019-05-12 08:34:48,2019-05-12 08:38:08,,,,,,,
244,2019-05-12 09:33:54,2019-05-12 09:36:51,,,,,,,
245,2019-05-12 10:17:30,2019-05-12 10:18:25,,,,,,,
246,2019-05-12 11:00:26,2019-05-12 11:03:42,,,,,,,
247,2019-05-12 12:04:10,2019-05-12 12:04:30,,,,,,,
248,2019-05-12 13:06:43,,,,,,,,
249,2019-05-12 13:53:17,,,,,,,,
250,2019-05-12 14:42:30,,,,,,,,
251,2019-05-12 15:38:48,,,,,,,,
252,2019-05-12 16:49:14,2019-05-12 16:50:21,,,,,,,
253,2019-05-12 17:53:11,2019-05-12 17:54:04,,,,,,,
254,2019-05-12 21:38:42,,,,,,,,
255,2019-05-12 22:36:44,,,,,,,,
256,2019-05-12 23:19:42,,,,,,,,
257,2019-05-12 23:54:19,,,,,,,,
258,2019-05-13 01:28:05,,,,,,,,
259,2019-05-13 03:01:21,,,,,,,,
260,2019-05-13 03:45:29,,,,,,,,
261,2019-05-13 04:15:24,,,,,,,,
262,2019-05-13 04:59:35,,,,,,,,
263,2019-05-13 05:55:26,,,,,,,,
264,2019-05-13 06:52:32,,,,,,,,
265,2019-05-13 07:23:52,,,,,,,,
266,2019-05-13 07:59:51,,,,,,,,
267,2019-05-13 08:37:53,,,,,,,,
268,2019-05-13 09:16:15,,,,,,,,
270,2019-05-13 13:12:41,2019-05-13 13:29:25,,,,,,,
271,2019-05-13 14:38:53,2019-05-13 14:40:11,,,,,,,
272,2019-05-13 15:34:44,2019-05-13 15:36:34,,,,,,,
273,2019-05-13 15:56:15,,,,,,,,
274,2019-05-13 16:35:06,2019-05-13 16:35:50,,,,,,,
275,2019-05-13 18:28:46,2019-05-13 18:29:22,,,,,,,
276,2019-05-13 19:08:08,2019-05-13 19:09:21,,,,,,,
277,2019-05-13 19:44:40,2019-05-13 19:46:55,,,,,,,
278,2019-05-13 20:56:50,2019-05-13 20:57:17,,,,,,,
279,2019-05-13 23:03:05,,,,,,,,
280,2019-05-13 23:40:41,2019-05-13 23:52:04,,,,,,2019-05-14 00:03:32,
281,2019-05-14 00:24:09,2019-05-14 00:25:06,,,,,,2019-05-14 00:36:39,
282,2019-05-14 00:58:07,2019-05-14 01:08:04,,,,,,2019-05-14 01:08:35,
283,2019-05-14 01:32:55,2019-05-14 01:44:04,,,,,,2019-05-14 01:44:34,
284,2019-05-14 02:11:08,2019-05-14 02:11:59,,,,,,2019-05-14 02:21:43,
285,2019-05-14 02:40:00,,,,,,,2019-05-14 02:50:24,
286,2019-05-14 03:10:57,2019-05-14 03:20:51,,,,,,2019-05-14 03:29:28,
287,2019-05-14 03:46:35,2019-05-14 03:59:18,,,,,,2019-05-14 03:59:47,
288,2019-05-14 04:26:38,,,,,,,2019-05-14 04:37:08,
289,2019-05-14 05:04:06,2019-05-14 05:13:57,,,,,,2019-05-14 05:14:25,
290,2019-05-14 05:43:05,,,,,,,,
291,2019-05-14 07:03:21,2019-05-14 07:16:57,,,,,,,
292,2019-05-14 07:56:13,,,,,,,,
293,2019-05-14 08:27:55,,,,,,,,
294,2019-05-14 09:16:02,,,,,,,,
295,2019-05-14 09:50:24,,,,,,,,
296,2019-05-14 10:15:45,,,,,,,,
297,2019-05-14 11:15:01,,,,,,,,
298,2019-05-14 12:03:03,,,,,,,,
299,2019-05-14 13:09:04,2019-05-14 13:09:46,,,,,,,
300,2019-05-14 14:26:00,2019-05-14 14:26:33,,,,,,,
301,2019-05-14 14:55:09,2019-05-14 15:07:32,,,,,,,
302,2019-05-14 15:40:27,2019-05-14 15:41:32,,,,,,,
303,2019-05-14 16:37:58,,,,,,,,
304,2019-05-14 17:17:56,2019-05-14 17:19:07,,,,,,,
305,2019-05-14 18:12:57,2019-05-14 18:30:07,,,,,,,
306,2019-05-14 18:56:47,,,,,,,,
307,2019-05-14 19:35:38,,,,,,,,
308,2019-05-14 20:08:12,,,,,,,,
309,2019-05-14 20:59:12,,,,,,,,
310,2019-05-14 22:06:29,2019-05-14 22:07:13,,,,,,,
311,2019-05-14 23:13:26,2019-05-14 23:37:48,,,,,,,
312,2019-05-15 00:15:25,,,,,,,,
313,2019-05-15 01:01:47,,,,,,,,
314,2019-05-15 01:41:18,,,,,,,,
315,2019-05-15 02:30:31,,,,,,,,
316,2019-05-15 03:26:20,2019-05-15 03:38:24,,,,,,,
317,2019-05-15 04:10:40,,,,,,,,
318,2019-05-15 04:41:40,,,,,,,,
319,2019-05-15 05:33:24,,,,,,,,
320,2019-05-15 06:41:47,,,,,,,,
321,2019-05-15 08:03:44,,,,,,,,
322,,2019-05-15 09:37:48,,,,,,,
323,2019-05-15 11:25:24,2019-05-15 11:26:07,,,,,,,
324,2019-05-15 12:55:53,,,,,,,,
325,2019-05-15 13:30:49,,,,,,,,
326,2019-05-15 14:10:02,,,,,,,,
327,2019-05-15 15:00:00,,,,,,,,
328,2019-05-15 15:38:37,2019-05-15 15:41:31,,,,,,,
329,2019-05-15 16:50:01,,,,,,,,
333,2019-05-15 20:38:12,,,,,,,,
334,2019-05-15 21:30:16,,,,,,,,
335,2019-05-15 22:36:45,,,,,,,,
336,2019-05-15 23:38:27,,,,,,,,
337,2019-05-16 00:25:32,2019-05-16 00:26:45,,,,,,,
338,2019-05-16 01:05:17,,,,,,,,
339,2019-05-16 01:44:19,,,,,,,,
340,2019-05-16 02:26:56,,,,,,,,
341,2019-05-16 03:28:23,2019-05-16 03:29:25,,,,,,,
342,2019-05-16 03:53:52,,,,,,,,
343,2019-05-16 04:32:49,,,,,,,,
344,2019-05-16 04:51:48,,,,,,,,
345,2019-05-16 05:44:32,,,,,,,,
346,2019-05-16 06:38:17,2019-05-16 06:39:07,,,,,,,
347,2019-05-16 07:31:15,2019-05-16 07:34:53,,,,,,,
348,2019-05-16 07:56:32,2019-05-16 07:57:06,,,,,,,
349,2019-05-16 08:40:50,2019-05-16 08:34:36,,,,,,,
350,2019-05-16 13:39:03,,,,,,,,
351,2019-05-16 14:27:53,2019-05-16 14:28:21,,,,,,,
352,2019-05-16 15:14:24,,,,,,,,
353,2019-05-16 16:20:57,,,,,,,,
354,2019-05-16 17:15:43,,,,,,,,
356,2019-05-16 19:14:23,,,,,,,,
357,2019-05-16 20:00:50,2019-05-16 20:14:17,,,,,,,
358,2019-05-16 22:28:41,2019-05-16 22:32:01,,,,,,,
359,2019-05-17 01:03:25,,,,,,,,
360,2019-05-17 01:41:08,,,,,,,,
361,2019-05-17 02:18:56,,,,,,,,
362,2019-05-17 03:06:00,,,,,,,,
363,2019-05-17 03:46:39,,,,,,,,
364,2019-05-17 04:51:23,,,,,,,,
365,2019-05-17 06:08:24,,,,,,,,
366,2019-05-17 07:00:22,,,,,,,,
367,2019-05-17 07:34:48,2019-05-17 07:35:51,,,,,,,
368,2019-05-17 08:07:50,,,,,,,,
369,2019-05-17 08:33:41,2019-05-17 08:35:12,,,,,,,
370,2019-05-17 09:07:58,,,,,,,,
371,2019-05-17 09:49:14,,,,,,,,
372,2019-05-17 10:37:32,,,,,,,,
373,2019-05-17 11:31:25,,,,,,,,
374,2019-05-17 12:30:20,,,,,,,,
379,2019-05-17 15:50:26,,,,,,,,
380,2019-05-17 17:01:24,,,,,,,,
381,2019-05-17 18:07:53,,,,,,,,
383,2019-05-17 19:07:18,2019-05-17 19:08:40,,,,,,,
384,2019-05-17 20:01:32,,,,,,,,
385,2019-05-17 20:51:58,,,,,,,,
386,2019-05-17 21:58:20,,,,,,,,
387,2019-05-17 22:53:50,,,,,,,,
388,2019-05-17 23:34:46,,,,,,,,
389,2019-05-18 00:09:57,2019-05-18 00:10:55,,,,,,,
390,2019-05-18 01:23:45,,,,,,,,
391,2019-05-18 02:33:42,,,,,,,,
392,2019-05-18 03:07:51,,,,,,,,
393,2019-05-18 03:39:07,,,,,,,,
394,2019-05-18 04:05:05,,,,,,,,
395,2019-05-18 04:46:33,,,,,,,,
396,2019-05-18 05:12:06,,,,,,,,
397,2019-05-18 05:44:44,,,,,,,,
398,2019-05-18 06:20:50,,,,,,,,
399,2019-05-18 06:53:26,,,,,,,,
400,2019-05-18 07:26:50,,,,,,,,
401,2019-05-18 08:07:05,,,,,,,,
402,2019-05-18 08:40:24,,,,,,,,
403,2019-05-18 09:33:04,,,,,,,,
404,2019-05-18 10:08:21,2019-05-18 10:10:08,,,,,,,
405,2019-05-18 11:54:42,2019-05-18 11:56:09,,,,,,,
406,2019-05-18 12:44:53,2019-05-18 12:47:26,2019-05-18 13:04:48,,,,,,
407,2019-05-18 13:22:21,2019-05-18 13:22:44,2019-05-18 13:41:36,,,,,,
408,2019-05-18 14:00:52,2019-05-18 14:10:26,,,,,,,
409,2019-05-18 14:31:21,2019-05-18 14:32:10,,,,,,,
410,2019-05-18 15:04:00,2019-05-18 15:04:41,,,,,,,
411,2019-05-18 15:44:19,2019-05-18 15:45:05,,,,,,,
412,2019-05-18 16:19:46,,,,,,,,
413,2019-05-18 17:03:30,2019-05-18 17:23:51,,,,,,,
414,2019-05-18 17:53:26,2019-05-18 18:05:57,,,,,,,
415,2019-05-18 18:33:19,2019-05-18 18:33:48,,,,,,,
416,2019-05-18 19:44:56,2019-05-18 19:45:29,,,,,,,
417,2019-05-18 20:28:44,2019-05-18 20:30:02,2019-05-18 20:52:18,,,,,,
418,2019-05-18 21:29:20,2019-05-18 21:30:21,2019-05-18 21:49:12,,,,,,
419,2019-05-18 22:17:35,,,,,,,,
420,2019-05-18 23:03:52,,,,,,,,
421,2019-05-18 23:58:24,2019-05-19 00:09:58,,,,,,,
422,2019-05-19 00:39:58,2019-05-19 00:40:45,,,,,,,
423,2019-05-19 01:38:44,2019-05-19 01:39:39,,,,,,,
424,2019-05-19 02:29:51,2019-05-19 02:52:43,,,,,,,
425,2019-05-19 03:30:38,,,,,,,,
426,2019-05-19 04:20:59,,,,,,,,
427,2019-05-19 05:47:42,,,,,,,,
428,2019-05-19 06:23:23,,,,,,,,
429,2019-05-19 07:11:58,,,,,,,,
430,2019-05-19 07:56:43,,,,,,,,
431,2019-05-19 08:16:54,,,,,,,,
432,2019-05-19 09:01:04,,,,,,,,
433,2019-05-19 09:20:57,,,,,,,,
434,2019-05-19 10:21:01,,,,,,,,
435,2019-05-19 11:10:37,2019-05-19 11:12:16,,,,,,,
436,2019-05-19 12:14:42,2019-05-19 12:13:14,,,,,,,
437,2019-05-19 13:11:51,2019-05-19 13:13:31,,,,,,,
438,2019-05-19 14:44:59,2019-05-19 14:46:00,,,,,,,
439,2019-05-19 15:16:33,,,,,,,,
440,2019-05-19 15:54:43,,,,,,,,
441,2019-05-19 16:26:02,,,,,,,,
442,2019-05-19 17:09:24,,,,,,,,
443,2019-05-19 17:52:31,2019-05-19 17:52:51,,,,,,,
444,2019-05-19 18:42:28,,,,,,,,
445,2019-05-19 19:55:05,2019-05-19 19:55:22,,,,,,,
446,2019-05-19 20:30:45,,,,,,,,
447,2019-05-19 21:15:38,2019-05-19 21:33:08,,,,,,,
448,2019-05-19 22:10:19,,,,,,,,
449,2019-05-19 22:43:20,2019-05-19 22:43:45,,,,,,,
450,2019-05-19 23:08:41,2019-05-19 23:34:13,,,,,,,
451,2019-05-20 00:32:28,2019-05-20 00:33:04,,,,,,,
452,2019-05-20 01:57:06,,,,,,,,
453,2019-05-20 02:56:47,2019-05-20 03:32:23,,,,,,,
454,2019-05-20 03:51:34,2019-05-20 04:10:03,,,,,,,
455,2019-05-20 04:45:29,2019-05-20 04:47:12,,,,,,,
456,2019-05-20 05:30:14,,,,,,,,
457,2019-05-20 06:39:05,,,,,,,,
458,2019-05-20 07:47:08,,,,,,,,
459,2019-05-20 08:24:26,,,,,,,,
460,2019-05-20 10:45:11,,,,,,,,
461,2019-05-20 11:43:22,,,,,,,,
462,2019-05-20 12:39:12,,,,,,,,
463,2019-05-20 13:31:56,,,,,,,,
464,2019-05-20 14:22:54,,,,,,,,
465,2019-05-20 15:15:20,2019-05-20 15:17:51,,,,,,,
466,2019-05-20 15:56:14,,,,,,,,
467,2019-05-20 16:29:39,,,,,,,,
468,2019-05-20 17:18:24,2019-05-20 17:29:50,,,,,,,
469,2019-05-20 18:06:08,,,,,,,,
470,2019-05-20 19:22:40,,,,,,,,
471,2019-05-20 19:56:06,,,,,,,,
472,2019-05-20 20:27:56,,,,,,,,
473,2019-05-20 21:20:41,2019-05-20 21:37:29,,,,,,,
474,2019-05-21 00:52:39,,,,,,,,
475,2019-05-21 01:52:47,2019-05-21 01:56:52,,,,,,,
476,2019-05-21 03:21:09,,,,,,,,
477,2019-05-21 03:53:07,,,,,,,,
478,2019-05-21 04:26:08,2019-05-21 04:42:08,,,,,,,
479,2019-05-21 05:46:16,2019-05-21 05:48:07,,,,,,,
480,2019-05-21 06:39:52,2019-05-21 06:41:55,,,,,,,
481,2019-05-21 07:23:43,,,,,,,,
482,2019-05-21 08:29:45,,,,,,,,
483,2019-05-21 09:40:04,,,,,,,,
484,2019-05-21 10:31:31,,,,,,,,
485,2019-05-21 11:42:33,,,,,,,,
486,2019-05-21 12:39:45,,,,,,,,
487,2019-05-21 13:28:33,,,,,,,,
488,2019-05-21 14:29:03,,,,,,,,
489,2019-05-21 15:21:41,,,,,,,,
490,2019-05-21 16:01:36,,,,,,,,
491,2019-05-21 16:28:07,,,,,,,,
492,2019-05-21 17:04:50,,,,,,,,
493,2019-05-21 17:51:29,,,,,,,,
494,2019-05-21 18:25:14,,,,,,,,
495,2019-05-21 19:16:00,,,,,,,,
496,2019-05-21 20:03:07,,,,,,,,
497,2019-05-21 20:51:55,,,,,,,,
498,2019-05-21 22:40:51,,,,,,,,
499,2019-05-21 23:25:51,,,,,,,,
500,2019-05-22 00:27:58,2019-05-22 00:29:24,,,,,,,
501,2019-05-22 01:03:20,2019-05-22 01:05:04,,,,,,,
502,2019-05-22 02:02:09,,,,,,,,
503,2019-05-22 03:37:02,,,,,,,,
504,,2019-05-22 04:23:02,,,,,,,
505,2019-05-22 05:25:48,2019-05-22 05:42:16,,,,,,,
507,2019-05-22 07:26:29,,,,,,,,
508,2019-05-22 08:58:51,,,,,,,,
509,2019-05-22 09:30:21,,,,,,,,
510,2019-05-22 10:04:00,,,,,,,,
511,2019-05-22 10:52:29,,,,,,,,
512,2019-05-22 11:23:55,2019-05-22 11:36:22,,,,,,,
513,2019-05-22 12:15:56,2019-05-22 12:17:11,,,,,,,
514,2019-05-22 13:20:49,,,,,,,,
515,2019-05-22 13:46:12,,,,,,,,
516,2019-05-22 14:14:45,,,,,,,,
517,2019-05-22 14:47:54,,,,,,,,
518,2019-05-22 15:12:04,,,,,,,,
519,2019-05-22 16:10:40,,,,,,,,
520,2019-05-22 16:51:09,2019-05-22 16:51:41,,,,,,,
